month,api_client_title,shipping_city,shipping_region,shipping_country,customer_type,product_title,product_type,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,total_tips,average_order_value
2021-03,Online Store,Lancaster,Pennsylvania,United States,First-time,Traditional Japanese Teriyaki,,2,89.9,-4.49,0,85.41,0,5.13,90.54,0,45.27
2021-03,Online Store,Laporte,Minnesota,United States,First-time,Traditional Japanese Teriyaki,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Wake Forest,North Carolina,United States,First-time,Black Truffle,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Hacienda Heights,California,United States,First-time,Slap Yo' Grandma Spicy,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Sonoma,California,United States,First-time,5-Bag Variety Pack,,1,89.9,0,0,89.9,0,0,89.9,0,89.9
2021-03,Online Store,Murrieta,California,United States,First-time,Gourmet Keto Original,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Strongsville,Ohio,United States,First-time,Black Truffle,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Cataula,Georgia,United States,First-time,Original,,1,44.95,-8.99,0,35.96,0,0,35.96,0,35.96
2021-03,Online Store,Tryon,North Carolina,United States,First-time,Black Truffle,,1,17.98,-3.78,0,14.2,0,0,14.2,0,14.2
2021-03,Online Store,North Haven,Connecticut,United States,First-time,Gourmet Keto Variety Pack,,1,35.96,0,0,35.96,0,0,35.96,0,35.96
2021-03,Online Store,Kissimmee,Florida,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Clyde,Michigan,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Warsaw,Missouri,United States,First-time,Slap Yo' Grandma Spicy,,1,53.94,0,0,53.94,0,0,53.94,0,53.94
2021-03,Online Store,Barnhart,Missouri,United States,First-time,,,0,0,0,0,0,9.87,0,9.87,0,0
2021-03,Online Store,Sioux City,Iowa,United States,First-time,,,0,0,0,0,0,5.89,0,5.89,0,0
2021-03,Online Store,St. Petersburg,Florida,United States,Returning,Original,,1,8.99,-1.8,0,7.19,0,0,7.19,0,7.19
2021-03,Online Store,Farmington,Minnesota,United States,First-time,Sweet Heat,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Wausau,Wisconsin,United States,First-time,Slap Yo' Grandma Spicy,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Rocky Mount,North Carolina,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Macungie,Pennsylvania,United States,First-time,Black Truffle,,1,44.95,-9.44,0,35.51,0,2.13,37.64,0,37.64
2021-03,Online Store,Fremont,California,United States,First-time,Black Truffle,,1,8.99,-1.89,0,7.1,0,0,7.1,0,7.1
2021-03,Online Store,Fleming Island,Florida,United States,First-time,Gourmet Keto Variety Pack,,1,39.96,0,0,39.96,0,0,39.96,0,39.96
2021-03,Online Store,Fort Worth,Texas,United States,First-time,Traditional Japanese Teriyaki,,2,26.97,-1.88,0,25.09,0,0,25.09,0,12.545
2021-03,Online Store,Downey,California,United States,First-time,Spicy Original,,1,53.94,-11.32,0,42.62,0,0,42.62,0,42.62
2021-03,Online Store,Santa Rosa,California,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Eureka,California,United States,First-time,,,0,0,0,0,0,3.9,0,3.9,0,0
2021-03,Online Store,Victorville,California,United States,First-time,5-Bag Variety Pack,,1,44.95,0,0,44.95,0,0,44.95,0,44.95
2021-03,Online Store,Kokomo,Indiana,United States,First-time,Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Wynnewood,Pennsylvania,United States,First-time,Black Truffle,,1,26.97,0,0,26.97,0,1.62,28.59,0,28.59
2021-03,Online Store,Senatobia,Mississippi,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,-0.89,0,8.1,0,0,8.1,0,8.1
2021-03,Online Store,New Berlin,Wisconsin,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Olive Branch,Mississippi,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Henderson,Nevada,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Seal Subscriptions,Stoughton,Wisconsin,United States,First-time,Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Scranton,Pennsylvania,United States,First-time,Black Truffle,,1,8.99,0,0,8.99,0,0.54,9.53,0,9.53
2021-03,Online Store,Ahoskie,North Carolina,United States,First-time,,,0,0,0,0,0,7.4,0,7.4,0,0
2021-03,Online Store,Alvin,Texas,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Florence,Alabama,United States,First-time,Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Niagara Falls,New York,United States,Returning,Spicy Original,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Stanhope,New Jersey,United States,First-time,Slap Yo' Grandma Spicy,,1,8.99,-1.88,0,7.11,0,0,7.11,0,7.11
2021-03,Online Store,Peekskill,New York,United States,First-time,Slap Yo' Grandma Spicy,,1,8.99,-2.25,0,6.74,0,0,6.74,0,6.74
2021-03,Online Store,San Angelo,Texas,United States,First-time,Original,,1,35.96,0,0,35.96,0,0,35.96,0,35.96
